,first_name,second_name,position,assists,goals_scored,total_points,threat_rank,influence_rank,creativity_rank,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,now_cost,points_per_million
164,Kai,Havertz,MID,6,4,91,65,224,132,1512,15,307.7,325.0,514.0,3,268,114.2,8,0,2,8.3,10.963855421686747
165,Edouard,Mendy,GK,0,0,140,704,153,704,2745,25,0.0,470.2,0.0,8,613,47.2,16,0,2,5.3,26.41509433962264
166,Karlo,Ziger,GK,0,0,0,503,547,526,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
167,Faustino,Anjorin,MID,0,0,0,609,633,623,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
168,Valentino,Livramento,DEF,0,0,0,509,553,532,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
169,Michy,Batshuayi,FWD,2,2,41,182,348,251,717,15,113.5,132.8,210.0,2,113,45.5,2,0,0,5.7,7.192982456140351
170,Gary,Cahill,DEF,1,1,53,225,183,287,1800,39,90.1,406.2,157.0,6,308,65.7,4,0,3,4.5,11.777777777777779
171,Wayne,Hennessey,GK,0,0,0,535,572,554,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
172,Mamadou,Sakho,DEF,0,0,4,424,431,452,275,8,1.6,36.6,6.0,0,33,4.5,0,0,0,4.4,0.9090909090909091
173,Vicente,Guaita,GK,0,0,124,668,17,675,3330,64,0.0,819.4,0.0,15,639,82.2,8,0,2,4.8,25.833333333333336
174,James,Tomkins,DEF,0,0,18,376,376,414,551,12,11.4,101.2,29.0,2,97,14.1,2,0,1,4.4,4.090909090909091
175,James,McArthur,MID,2,0,45,334,241,190,1465,26,202.2,285.2,65.0,3,228,55.2,4,0,3,5.2,8.653846153846153
176,James,McCarthy,MID,0,0,26,410,363,295,816,15,87.2,112.2,10.0,0,129,20.9,2,0,1,4.3,6.046511627906977
177,Christian,Benteke,FWD,2,10,106,18,123,174,1808,34,236.5,512.6,1030.0,14,338,177.7,5,1,1,5.5,19.272727272727273
178,Cheikhou,Kouyaté,MID,0,1,82,254,87,262,3121,56,103.0,574.8,134.0,2,438,81.3,8,0,4,4.8,17.083333333333336
179,Joel,Ward,DEF,1,0,66,380,201,246,2255,43,118.2,366.8,28.0,6,353,51.3,7,0,5,4.3,15.348837209302326
180,Martin,Kelly,DEF,0,0,1,526,494,549,1,0,0.0,2.2,0.0,0,3,0.2,0,0,0,4.1,0.24390243902439027
181,Connor,Wickham,FWD,0,0,0,568,600,586,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.4,0.0
182,Andros,Townsend,MID,5,1,94,126,124,28,2250,37,694.6,511.4,311.0,8,378,152.1,7,0,0,5.5,17.09090909090909
183,Luka,Milivojevic,MID,1,1,63,246,181,115,2357,47,329.6,410.8,143.0,3,332,88.4,7,1,8,5.6,11.25
184,Patrick,van Aanholt,DEF,2,0,54,191,231,196,1775,36,195.3,298.6,198.0,5,313,69.1,4,0,2,5.4,10.0
185,Jordan,Ayew,FWD,4,1,70,79,243,173,2086,42,238.6,278.6,451.0,2,216,96.6,6,0,4,5.6,12.5
186,Wilfried,Zaha,MID,4,11,136,19,89,74,2612,52,428.5,572.6,1003.0,11,362,200.4,6,0,6,7.1,19.154929577464788
187,Jeffrey,Schlupp,MID,3,2,65,129,220,170,1415,26,242.1,336.6,304.0,3,194,88.2,5,0,3,5.3,12.264150943396228
188,Max,Meyer,MID,0,0,0,656,673,665,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,0.0
189,Jairo,Riedewald,MID,0,2,64,298,250,217,1810,39,160.4,274.0,88.0,4,249,52.4,4,0,4,4.4,14.545454545454545
190,Nathan,Ferguson,DEF,0,0,0,456,510,484,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.8,0.0
191,Tyrick,Mitchell,DEF,2,1,58,341,190,311,1710,32,76.8,387.6,60.0,5,287,52.5,4,0,1,3.8,15.263157894736842
192,Brandon,Pierrick,MID,0,0,0,562,596,581,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
193,Scott,Dann,DEF,1,1,39,285,242,399,1350,24,17.0,284.6,99.0,1,233,40.3,2,0,1,4.2,9.285714285714285
194,Eberechi,Eze,MID,8,4,125,98,118,36,2555,51,653.1,516.2,383.0,17,470,155.4,6,0,3,5.8,21.551724137931036
195,Sam,Woods,DEF,0,0,0,493,538,516,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
196,Ryan,Inniss,DEF,0,0,0,486,533,510,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
197,Nathaniel,Clyne,DEF,1,0,28,369,335,299,1145,22,84.3,150.8,34.0,0,172,27.2,2,0,2,4.5,6.222222222222222
198,Stephen,Henderson,GK,0,0,0,482,529,506,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
199,Jack,Butland,GK,0,0,2,595,462,609,90,2,0.0,16.6,0.0,0,14,1.7,0,0,0,4.5,0.4444444444444444
200,Jean-Philippe,Mateta,FWD,0,1,15,313,420,400,215,4,16.2,46.6,80.0,2,45,14.0,0,0,0,5.3,2.8301886792452833
201,Reece,Hannam,DEF,0,0,0,494,539,517,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
202,Jesurun,Rak-Sakyi,MID,0,0,0,629,650,639,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
203,Fabian,Delph,MID,0,0,8,454,430,373,260,6,29.8,37.0,1.0,0,48,6.8,0,0,1,4.8,1.6666666666666667
204,Gylfi,Sigurdsson,MID,5,6,122,67,108,39,2244,29,644.2,530.6,510.0,13,443,168.8,10,0,2,6.8,17.941176470588236
205,Jonas,Lössl,GK,0,0,0,538,574,557,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
206,Seamus,Coleman,DEF,3,0,81,198,225,154,1607,19,268.2,322.6,189.0,4,371,78.0,8,0,0,4.9,16.53061224489796
207,Cenk,Tosun,FWD,0,0,4,437,496,413,44,3,11.6,2.2,4.0,0,12,1.8,0,0,1,6.0,0.6666666666666666
208,Bernard,Anício Caldeira Duarte,MID,0,1,21,314,370,226,447,7,142.7,104.8,80.0,1,75,32.7,2,0,2,5.7,3.6842105263157894
209,Lucas,Digne,DEF,9,0,120,251,74,26,2681,42,704.2,592.6,136.0,18,590,143.5,9,1,2,6.2,19.35483870967742
210,Michael,Keane,DEF,1,3,127,163,20,292,2989,43,87.8,814.0,243.0,13,649,114.5,11,0,4,5.0,25.4
211,Jordan,Pickford,GK,0,0,114,675,47,419,2742,39,10.1,698.4,0.0,8,570,70.9,10,0,1,4.8,23.75
212,André Filipe,Tavares Gomes,MID,1,0,48,281,297,168,1559,22,244.5,189.0,103.0,0,224,53.0,5,0,3,5.3,9.056603773584905
213,Alex,Iwobi,MID,3,1,65,169,256,157,1530,21,263.1,262.6,233.0,1,256,76.0,5,0,0,5.9,11.016949152542372
214,Jonjoe,Kenny,DEF,0,0,5,418,474,431,78,1,8.1,11.0,8.0,0,19,2.8,0,0,0,4.3,1.1627906976744187
215,Jean-Philippe,Gbamin,MID,0,0,1,694,486,465,11,1,0.9,3.8,0.0,0,1,0.5,0,0,0,5.0,0.2
216,Yerry,Mina,DEF,0,2,79,189,134,383,1936,22,23.5,496.2,200.0,7,399,72.3,6,0,2,5.5,14.363636363636363
217,Tom,Davies,MID,1,0,47,375,285,253,1417,23,112.0,205.6,30.0,1,209,34.7,5,0,3,5.2,9.038461538461538
218,Dominic,Calvert-Lewin,FWD,6,16,165,6,36,131,2871,39,308.0,745.8,1439.0,21,528,249.0,11,0,3,7.5,22.0
219,Mason,Holgate,DEF,0,1,80,312,175,243,2286,32,126.0,432.2,80.0,4,426,64.1,9,0,9,4.8,16.666666666666668
220,Richarlison,de Andrade,FWD,6,7,123,12,86,102,2862,38,359.7,576.4,1147.0,18,415,208.3,11,1,4,7.7,15.974025974025974
221,João,Virgínia,GK,0,0,2,556,447,575,47,0,0.0,25.0,0.0,0,10,2.5,0,0,0,4.3,0.46511627906976744
222,Anthony,Gordon,MID,0,0,3,431,467,408,87,0,12.7,14.4,4.0,0,11,3.1,0,0,0,4.3,0.6976744186046512
223,Moise,Kean,FWD,0,0,2,408,708,457,13,0,1.3,0.0,11.0,0,1,0.9,0,0,0,5.7,0.3508771929824561
224,Jarrad,Branthwaite,DEF,0,0,0,477,525,501,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.9,0.0
225,Allan,Marques Loureiro,MID,0,0,47,362,202,179,2050,30,233.3,366.6,42.0,0,290,64.4,7,0,6,5.2,9.038461538461538
226,James,Rodríguez,MID,5,6,101,95,132,44,1763,27,585.6,499.2,399.0,11,432,148.7,5,0,4,7.7,13.116883116883116
227,Abdoulaye,Doucouré,MID,3,2,80,153,173,125,2443,36,319.4,433.8,267.0,2,421,102.1,9,0,6,5.1,15.686274509803923
228,Niels,Nkounkou,DEF,0,0,2,452,466,437,80,1,5.7,15.0,1.0,0,9,2.2,0,0,1,4.0,0.5
229,Ben,Godfrey,DEF,2,0,100,237,66,300,2683,35,84.3,610.4,152.0,7,537,84.8,11,0,4,5.1,19.607843137254903
230,Robin,Olsen,GK,0,0,25,596,324,610,630,9,0.0,166.4,0.0,3,119,16.7,2,0,1,4.5,5.555555555555555
231,Ellis,Simms,FWD,0,0,0,604,628,618,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
232,Tyler,Onyango,MID,0,0,0,633,653,642,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
233,Joshua,King,FWD,0,0,11,374,469,438,138,2,5.6,13.4,31.0,0,18,5.0,0,0,0,5.0,2.2
234,Kyle,John,DEF,0,0,0,498,542,521,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
235,Nathan,Broadhead,MID,0,0,1,598,497,612,2,0,0.0,2.0,0.0,0,5,0.2,0,0,0,4.5,0.2222222222222222
236,Ryan,Astley,DEF,0,0,0,502,546,525,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
237,Harry,Tyrer,GK,0,0,0,511,555,534,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
238,Reece,Welch,DEF,0,0,0,518,562,541,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.0,0.0
239,Isaac,Price,MID,0,0,0,644,664,654,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.5,0.0
240,Ruben,Loftus-Cheek,MID,0,1,66,84,286,148,1962,22,274.2,201.6,439.0,0,178,91.4,11,0,3,5.9,11.1864406779661
241,Fabricio,Agosto Ramírez,GK,0,0,0,462,513,488,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.9,0.0
242,Kevin,McDonald,MID,0,0,0,653,671,662,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,0.0
243,Maxime,Le Marchand,DEF,0,0,1,453,472,451,122,1,1.6,12.6,1.0,0,12,1.6,0,0,2,4.1,0.24390243902439027
244,Stefan,Johansen,MID,0,0,0,654,672,663,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.7,0.0
245,Tom,Cairney,MID,1,1,27,261,314,145,758,15,278.3,170.6,124.0,2,160,57.3,1,0,2,5.2,5.1923076923076925
246,Tim,Ream,DEF,0,0,10,441,347,430,630,13,8.1,133.6,2.0,0,103,14.5,0,0,0,4.2,2.380952380952381
247,Anthony,Knockaert,MID,0,0,0,693,700,696,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.0,0.0
248,Michael,Hector,DEF,0,0,0,393,424,415,262,10,11.3,40.8,18.0,0,32,6.9,0,0,2,4.1,0.0
249,Cyrus,Christie,DEF,0,0,0,533,570,552,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.2,0.0
250,Neeskens,Kebano,MID,0,0,6,356,499,404,116,3,14.6,1.4,47.0,0,13,5.9,0,0,0,4.7,1.276595744680851
251,Bobby,Decordova-Reid,FWD,3,5,88,69,193,162,2367,32,254.1,384.8,503.0,6,343,114.1,9,0,7,5.3,16.60377358490566
252,Joe,Bryan,DEF,1,1,27,303,340,270,663,17,100.4,143.2,85.0,2,132,32.8,0,0,2,4.5,6.0
253,Marcus,Bettinelli,GK,0,0,0,548,584,567,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
254,Aleksandar,Mitrović,FWD,3,3,63,49,267,118,1389,24,323.8,245.6,697.0,7,178,124.9,1,0,3,5.5,11.454545454545455
255,Alfie,Mawson,DEF,0,0,0,549,585,568,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.3,0.0
256,Marek,Rodák,GK,0,0,2,551,436,570,180,5,0.0,32.6,0.0,0,23,3.2,0,0,0,4.3,0.46511627906976744
257,Ivan Ricardo,Neves Abreu Cavaleiro,MID,0,3,85,61,217,38,2465,43,647.2,347.0,530.0,4,261,152.5,7,0,2,5.3,16.037735849056606
